City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,bojia,26.4672,111.9681,65.07,95,100,2.3,CN,1713665561
240,al ghayzah,16.2079,52.176,80.76,80,8,8.39,YE,1713665561
241,lavaltrie,45.8834,-73.2824,44.02,74,35,11.79,CA,1713665562
242,tapes,-30.6733,-51.3958,64.81,87,0,6.78,BR,1713665562
243,chui,-33.6971,-53.4616,62.17,79,100,5.23,UY,1713665562
244,itoman,26.1247,127.6694,82.4,86,20,14.97,JP,1713665334
245,ghat,24.9647,10.1728,80.02,11,97,12.17,LY,1713665212
246,khandyga,62.6667,135.6,37.49,79,100,1.99,RU,1713665159
247,luderitz,-26.6481,15.1594,62.08,77,3,6.93,NA,1713665095
248,vallenar,-28.5708,-70.7581,63.59,70,100,2.86,CL,1713665564
249,suva,-18.1416,178.4415,87.28,62,75,10.36,FJ,1713665206
250,al bukayriyah,26.1442,43.6593,71.37,15,0,13.44,SA,1713665565
251,portland,45.5234,-122.6762,57.15,62,75,14.97,US,1713664986
252,namsos,64.4662,11.4957,26.65,86,8,1.14,NO,1713665566
253,broome,42.2506,-75.833,40.46,68,100,7.0,US,1713665566
254,naze,28.3667,129.4833,76.12,89,89,12.93,JP,1713665053
255,byron,44.0327,-92.6455,39.88,51,0,9.22,US,1713665064
256,yerofey pavlovich,53.9667,121.9667,39.74,66,81,1.99,RU,1713665567
257,shibetsu,43.659,145.132,37.4,90,100,9.42,JP,1713665567
258,carepa,7.7585,-76.6525,79.66,97,100,2.82,CO,1713665568
259,den burg,53.0542,4.7972,44.56,73,100,18.41,NL,1713665568
260,jiaojiang,28.6803,121.4428,65.16,92,100,3.98,CN,1713665568
261,puerto baquerizo moreno,-0.9,-89.6,76.82,84,70,4.07,EC,1713665173
262,ebolowa,2.9,11.15,70.47,92,78,1.97,CM,1713665569
263,saldanha,-33.0117,17.9442,58.73,79,100,2.57,ZA,1713665234
264,calingasta,-31.3308,-69.4078,67.71,37,70,8.86,AR,1713665570
265,cadale,2.7603,46.3222,83.84,76,100,6.76,SO,1713665123
266,moanda,-1.5575,13.2178,71.82,95,16,2.3,GA,1713665572
267,holualoa,19.6228,-155.9522,78.64,84,0,10.36,US,1713665145
268,inhambupe,-11.7844,-38.3531,73.72,96,98,7.99,BR,1713665358
269,reggane,26.7158,0.1714,81.73,12,100,8.88,DZ,1713665103
270,novoaltaysk,53.3917,83.9363,42.21,52,43,3.29,RU,1713665573
271,forster,-32.1667,152.5167,74.28,64,97,13.38,AU,1713665573
272,rongelap,11.1635,166.8941,81.73,78,100,17.13,MH,1713665332
